AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,88,0,99,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,14,0,50,0,100,76,2,0,0,86
0,-28,0,89,91,100,0,0,0,0,45,90,40,0,0,69,100,76,0,47,0,93,43,100,-76,16,0,0,60
0,65,12,53,-100,59,0,44,0,9,58,-90,-40,0,0,35,-51,21,0,-61,57,-38,-43,-81,100,-18,11,0,-100
100,-93,40,53,11,-34,80,6,0,48,45,18,70,51,11,85,-5,-18,0,52,100,59,100,-84,-22,0,-11,79,-46
-100,25,-52,100,20,-100,100,-50,0,0,-100,29,100,-51,100,59,1,-45,0,43,6,-81,-24,59,59,1,0,-77,0
0,100,0,0,81,-25,-100,0,0,-57,100,24,66,67,71,5,-12,-33,100,-37,-57,100,13,-94,54,-1,0,30,0
0,-9,0,-100,52,100,62,22,0,34,5,-71,-30,100,-69,-72,-34,-1,-43,0,-99,-100,100,0,78,100,96,-32,0
0,-76,0,2,-38,-100,2,-22,0,100,59,50,-44,38,35,100,-99,100,52,19,-7,58,-92,0,64,100,-31,0,45
0,-72,100,-100,-53,20,100,32,69,40,-70,35,-50,100,-100,83,0,-25,38,29,46,4,-97,0,-100,31,28,0,-45
0,11,-76,-16,100,-20,58,-32,100,74,-100,-65,-70,100,40,-100,67,-28,-44,-58,-19,41,0,0,-100,-74,56,0,0
2,-11,100,-28,-7,100,-89,16,66,-19,-39,100,100,100,-88,-39,-67,-47,24,88,78,97,84,0,-41,-3,64,21,0
-2,0,100,90,-68,-24,16,-16,-16,-100,-3,94,-71,100,0,-22,100,0,-100,100,30,62,100,0,-92,-100,34,41,0
0,100,-81,-100,19,-30,46,95,-100,17,0,-100,85,-12,0,-23,-100,0,38,100,38,-100,24,100,58,-54,-100,49,0
8,-100,100,-56,-57,-39,-87,-7,-100,-7,0,100,100,28,87,1,7,86,-65,-33,20,-74,-5,72,31,0,100,100,100
-8,100,100,-86,100,4,9,-42,-19,-100,0,9,100,90,12,35,-7,-5,0,18,-36,100,100,-100,100,0,-49,-100,-34
81,-24,-100,100,44,100,-11,-45,81,-24,0,52,-29,-33,52,-69,0,-11,0,-100,83,7,-18,81,-100,0,100,-47,54
-81,-76,-100,100,-73,60,100,-1,-81,-15,100,-91,100,38,100,-8,0,-70,0,-22,35,100,-58,-100,100,0,-61,-35,-21
0,0,100,-83,100,-58,2,0,0,0,-5,64,32,-45,84,-13,0,0,81,100,100,47,-81,100,100,0,-100,-21,-59
100,100,100,-33,-42,-4,74,0,0,100,-51,-37,-20,48,-10,-80,100,77,85,-50,-100,3,100,68,100,0,-100,-8,-1
44,100,100,-1,-100,-91,32,0,0,-97,-44,78,33,100,-36,100,100,-77,-100,-29,-100,-41,100,-100,-73,76,18,0,-39
-21,100,-100,-19,-42,-18,50,0,0,100,80,73,100,-48,-17,36,-65,0,53,100,-61,100,-100,100,-80,-76,12,0,0
-100,-100,-99,100,100,0,-100,0,100,100,-80,100,65,100,18,100,-48,100,10,100,22,10,-49,54,-100,23,53,0,56
-23,-100,-34,-41,100,11,-76,36,100,100,18,22,100,64,67,-36,-87,-2,-31,-100,82,44,-76,49,71,70,77,26,100
0,100,53,-15,9,0,-100,-19,-100,-7,42,19,100,100,-100,-55,0,13,-37,22,-38,37,100,26,-100,-93,98,98,-74
83,-100,100,100,56,-11,-71,46,78,76,-60,6,7,100,-33,-81,100,28,-61,13,28,88,-68,-100,-30,37,100,82,100
-26,25,95,42,-5,0,100,-63,-100,-100,0,49,-12,74,100,-100,17,-92,0,22,-66,100,11,-14,11,45,-65,65,-39
-57,-62,11,54,0,100,-87,100,100,-100,0,36,-31,-38,100,100,55,49,92,-100,22,-100,10,-75,-87,-82,10,100,-95
100,100,0,0,-100,0,-42,-61,66,0,100,100,100,0,-21,-100,0,-75,-92,-3,0,-23,-18,100,-1,100,-100,0,-48
45,21,-14,100,-20,18,69,71,-100,-100,-76,-10,44,-100,69,-10,72,-21,44,100,54,72,-26,-78,50,-99,31,-56,0
-26,0,100,73,-100,-31,-2,-100,84,-72,95,-100,-100,100,-80,0,100,0,1,100,-100,-60,100,95,19,100,2,37,0
34,-31,0,100,-100,29,33,37,-100,0,22,-100,-100,-100,-80,33,-100,0,32,-48,-55,-32,-63,-61,-34,-100,-100,100,100
-17,98,100,-100,22,73,-100,-47,-100,0,29,86,8,40,100,-33,-93,88,28,15,-1,-64,-25,-85,100,3,65,-42,55
100,-45,0,100,0,-33,-5,0,100,91,-18,0,86,80,0,0,0,-9,-100,1,-14,100,0,-8,-100,20,0,-100,-100
-100,0,92,0,0,-100,-63,0,53,-55,0,100,-100,1,-71,100,79,100,0,-9,0,100,-3,-42,0,0,1,-48,-55
48,-18,100,100,-46,-7,87,0,46,-36,84,0,-9,100,40,0,3,-84,0,-94,35,-96,-26,-82,-35,-17,-43,0,0
0,-58,100,0,0,100,-9,0,0,0,-100,-60,0,-100,-46,0,2,0,0,98,0,-78,100,0,0,72,-70,100,0
-11,14,0,-2,0,100,0,0,-100,0,-100,-100,100,-100,-23,0,-7,0,0,0,100,1,-100,0,100,0,-100,0,0
-76,0,-100,100,-50,-100,0,0,100,0,-36,0,0,-76,94,100,1,0,0,-32,-21,-25,-1,0,-6,0,-26,0,100
100,-20,0,0,100,0,2,0,0,0,0,0,-100,100,0,0,-35,0,-5,0,0,-100,0,0,-26,18,0,-100,0
-13,0,0,-12,-10,0,-19,0,100,0,100,-13,0,-57,0,0,-30,-59,0,1,100,0,-87,1,5,-97,0,-55,-76
100,100,15,-100,-4,85,1,0,-52,0,-57,82,0,100,-100,0,-10,-36,0,-60,-21,100,-25,-1,-6,0,0,-34,-24
-13,0,0,-30,0,-26,-22,0,-100,0,-43,0,-100,100,0,0,-66,0,0,0,0,-50,0,0,64,96,100,0,100
100,-90,100,0,19,-22,96,0,100,0,0,-40,-100,0,0,-36,-88,100,0,100,100,0,0,0,-100,0,-96,0,-100
100,0,-100,-15,-100,100,-100,0,-28,100,0,100,50,-100,0,-87,0,-100,0,-14,0,0,0,0,0,-6,0,0,0
-43,-100,100,-100,-9,-100,-36,0,66,0,1,-56,-9,100,-33,100,0,0,0,-7,-11,-91,95,100,-31,-38,54,86,0
100,0,100,79,0,0,0,0,-89,100,-1,60,-100,-100,-77,54,0,0,0,0,-100,-5,100,64,0,7,-58,-89,0
-77,-34,0,100,0,0,0,0,-26,-43,0,17,-64,-100,0,-44,0,100,0,100,-38,-100,64,100,0,0,2,-9,0
0,0,-6,25,0,-3,0,0,100,100,0,-30,-2,-27,0,-37,0,-65,95,-73,-100,0,0,-27,0,-59,-2,-56,0
0,100,-7,30,0,-68,0,0,0,0,0,100,-5,-20,0,0,0,0,-9,0,-22,1,-100,-100,0,0,0,0,0
0,0,70,-31,48,0,0,0,100,-100,0,-100,-57,100,80,100,0,37,-46,0,-11,-36,0,-100,0,0,1,100,96
-93,-100,0,1,0,100,0,0,1,-15,0,0,100,-100,-10,-70,0,-72,0,0,0,0,-61,0,100,0,0,0,100
-34,0,100,-44,-48,-100,0,0,-100,-22,0,92,-48,-75,-100,92,100,0,13,-14,4,-60,5,100,46,0,46,-100,-79
0,100,100,0,100,-31,0,10,-60,0,0,-92,0,-100,-100,0,0,0,-27,-12,100,100,-58,0,-26,0,100,1,100
100,-70,14,-100,-100,15,100,-10,-100,-32,2,-92,48,-100,100,-100,22,0,-26,-26,-7,-100,-45,-24,100,100,-100,31,-50
-6,-30,-29,68,0,-29,100,0,100,100,97,51,100,100,-36,-100,-100,0,39,-100,57,100,0,-100,-100,-100,100,55,-41
-2,0,0,-100,0,97,-100,0,-9,56,-53,-50,-39,0,0,100,-22,0,-16,-27,0,-47,100,-13,100,98,0,-100,-100
-2,0,100,100,23,-85,-51,0,-100,-87,-21,-100,100,97,100,-92,18,0,-19,88,-100,-69,100,14,100,-33,100,-22,20
0,0,100,100,-21,-82,-49,0,-100,100,-25,-100,-100,-3,-100,0,-18,0,-4,-100,69,100,0,-14,100,-52,0,-70,-40
-29,100,8,-4,-2,0,0,0,100,-8,0,0,-100,100,-57,0,1,0,0,0,0,0,0,0,-63,-13,100,0,-6
100,0,100,-100,0,0,0,0,64,-100,0,0,0,90,99,-80,-1,0,0,1,0,-19,0,0,0,0,-12,0,98
-55,79,-18,-46,0,91,0,0,-45,-94,0,0,-59,-100,0,96,100,0,0,90,-77,100,0,0,0,0,0,1,100
-100,0,100,0,0,0,0,0,0,-55,0,0,-32,0,100,-77,2,0,0,0,-100,-37,-38,0,74,100,0,0,0
-84,28,25,-84,24,-32,0,100,-100,0,100,10,-2,-100,-64,-9,76,100,41,100,2,-96,-14,0,-100,-100,78,-1,-100
0,100,-100,100,-24,-7,0,-100,-49,35,-54,81,91,100,-69,100,1,0,-41,-44,-7,-11,-25,0,82,0,100,0,1
-100,-14,0,0,0,0,0,0,0,-35,-46,0,-100,100,0,0,-2,0,0,1,0,0,0,35,100,0,100,0,0
52,-94,100,30,0,-52,0,0,44,0,32,0,-94,12,-100,2,-100,-30,8,19,0,98,-32,100,21,0,-100,56,-53
-93,100,-12,0,0,0,0,0,-22,0,-2,0,100,100,100,0,-58,0,-8,5,0,-100,-91,0,0,0,0,-56,-46
-94,-100,-18,85,0,0,0,0,-22,0,-30,-19,-100,100,-87,83,27,-31,53,-100,10,-94,100,100,47,0,69,0,0
-11,0,100,0,0,0,100,0,0,0,0,1,1,100,0,0,-46,-39,-1,-39,-10,-40,-71,-8,-2,0,0,0,100
0,-100,100,-97,0,0,74,0,0,89,0,-100,100,-100,-5,-19,81,0,-52,6,15,-15,-29,-2,0,65,-42,0,99
0,5,-100,-100,100,0,60,0,92,-89,0,-100,65,0,68,70,-81,0,0,-88,100,-90,72,-100,100,-65,0,3,0
100,0,0,0,-90,0,0,0,-66,0,0,100,100,100,0,100,0,0,0,-74,0,0,-36,0,-100,100,72,-3,-100
-100,-45,-100,-42,2,14,-78,38,100,89,0,-33,-16,-100,-16,-10,0,100,0,-100,23,80,-13,17,-100,28,-44,0,-99
100,-59,-98,90,-12,-14,-89,71,-100,-21,0,-28,63,100,80,-4,0,100,0,21,-58,28,40,100,-2,-52,1,39,58
32,95,-100,-85,0,24,19,-5,9,-68,0,-100,28,100,80,-65,0,57,0,-59,69,-55,-57,-79,30,-10,-14,-14,100
100,100,-96,62,0,0,-54,100,-35,0,100,0,-89,-36,0,100,0,0,2,100,-43,96,100,-100,-76,-66,-84,-25,-100
-82,-100,0,-86,0,100,100,-79,0,0,73,100,100,-100,92,0,100,-60,-2,0,0,-89,0,0,-100,100,100,0,0
0,0,81,100,0,0,-100,-100,0,0,-5,-52,100,-100,-71,0,0,-7,100,0,-2,-60,-15,0,-7,0,-100,2,-30
-100,-67,-64,0,0,100,0,0,0,0,-6,100,0,-100,-6,100,-90,5,0,-100,100,0,0,0,0,-100,-100,-2,0
-50,14,100,-100,0,18,73,-25,21,0,-100,100,-13,-100,13,-16,-10,-63,-11,43,-45,51,-46,62,-14,74,64,0,-28
0,100,-86,57,0,-52,57,17,-21,0,-62,98,-3,-100,100,-100,24,-42,-89,59,100,-51,-45,100,14,-65,-86,0,65
66,-100,-100,-100,0,100,-84,-17,0,0,62,-38,100,49,-41,-30,-11,-25,0,56,-100,0,66,60,50,100,-100,0,-56
-27,0,100,100,0,-28,100,0,0,0,-56,-77,-38,92,0,0,4,100,0,-15,-100,0,0,100,73,-100,-59,0,-9
100,53,-90,-71,0,0,-100,0,0,0,0,100,-7,100,0,-71,1,31,41,97,-3,0,0,1,-100,-9,41,0,100
0,100,-60,0,0,10,-78,0,0,0,-6,0,100,-63,-62,0,-18,0,-24,0,0,0,-26,-100,0,0,2,0,100
-8,-77,100,-31,0,-58,0,0,0,0,0,0,0,-88,0,-55,0,100,-17,-100,-56,0,-40,1,93,0,100,0,0
0,-11,-100,0,0,78,0,0,0,0,0,-100,0,-42,-8,-10,0,-17,88,100,0,0,0,100,0,0,-29,1,-39
-86,-59,-100,-82,0,0,48,0,0,0,0,100,-27,50,-21,95,0,11,53,72,0,0,0,-100,90,0,-100,1,-69
-45,100,-20,100,0,-11,-48,0,0,0,0,-19,-100,-47,0,0,0,-71,0,0,0,0,0,0,5,0,0,-2,0
0,0,0,-51,0,0,0,0,0,100,0,-100,-34,0,-36,-100,0,15,0,0,0,0,0,-100,100,0,-20,0,-27
0,52,13,-40,100,-1,0,91,0,0,0,-100,100,0,-22,-100,100,50,-72,-40,100,0,100,-42,-100,0,99,2,-42
0,-39,100,-43,-100,-100,3,-91,11,49,0,-66,8,-100,100,-80,96,7,-39,-60,12,0,47,100,-100,83,-76,21,7
