AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,0,0,100,50,0,2,0,100,0,0,5,0,73,90,94,41,0,0,64,100,0,0,23,100,23,41,0,5
100,0,100,-100,-50,87,-2,0,-39,63,100,100,0,58,100,-90,-41,0,0,-64,-100,0,38,100,-4,-23,-41,0,68
34,0,100,40,0,-1,0,0,100,-30,-83,11,100,100,-39,100,100,0,3,0,100,0,-38,76,-32,21,90,100,-73
-5,84,100,-40,13,35,24,0,-63,-33,100,100,-27,-100,-11,60,-100,0,-3,0,-100,0,100,-85,-64,100,-90,43,0
100,-18,100,0,-13,14,29,68,50,0,100,-45,-73,-100,-3,100,0,0,0,0,0,100,100,100,0,-92,68,-100,100
-100,100,-100,0,36,-94,-53,-33,-100,15,-35,-27,0,100,47,-100,0,0,0,0,77,100,100,-100,0,17,64,-43,-12
2,2,40,0,-17,-41,0,-35,-25,-15,-100,56,38,100,77,-100,0,31,0,36,-77,84,-9,-14,6,-46,19,0,-1
-100,100,-48,0,-19,0,0,0,52,0,-82,-67,66,50,100,100,0,100,0,-13,0,100,20,-100,97,0,70,49,2
-31,68,100,0,23,0,0,0,-75,9,61,-18,100,62,69,-97,100,-100,64,-23,0,42,55,100,-76,0,100,-49,-70
2,-42,-69,24,-8,50,55,0,0,64,-61,-54,100,-20,7,-67,30,8,42,5,100,1,100,23,-9,0,-6,0,72
59,100,-100,34,-15,10,-12,0,74,-73,0,45,100,-35,47,100,100,17,-69,100,-88,100,52,55,-18,0,59,0,-51
39,-74,-3,12,100,61,-22,0,-48,35,0,-71,100,-100,-100,63,57,-30,-37,-13,47,-2,100,100,0,0,100,0,-40
-100,-100,-63,86,-24,100,-21,58,100,-35,0,-35,-82,100,79,52,44,-26,0,87,-39,-35,100,-100,18,36,22,0,100
0,37,92,-100,14,39,0,-13,100,0,0,0,100,100,100,-100,-8,0,0,-100,85,-30,100,45,-18,-36,56,100,-79
0,66,100,100,29,-100,0,40,-28,0,0,0,-100,-100,43,-52,-94,0,0,32,100,89,-82,-100,56,0,100,100,28
0,-100,14,-100,100,100,0,56,-86,0,58,0,36,100,100,-8,100,89,40,-97,0,10,100,-17,-56,95,34,-100,-49
0,-44,-100,-56,49,89,100,24,25,28,-58,63,-32,60,0,100,-82,0,-40,95,2,-10,8,-54,0,80,58,-100,0
0,-100,100,66,100,-33,-89,-66,-18,-28,100,-63,85,-72,-100,41,-95,-27,0,-3,-100,-100,-66,100,97,-85,77,12,98
0,45,-61,-66,-100,-100,-11,43,-100,100,100,32,32,100,76,49,-63,61,0,5,-100,-88,-81,-100,23,15,100,-12,86
0,31,100,100,-76,-25,0,0,100,0,100,100,0,-17,-5,95,0,-100,0,-57,100,-93,-100,100,-92,100,-100,100,-79
100,-20,0,-40,-78,0,0,-100,0,0,0,-96,0,1,0,-7,-89,0,100,100,100,0,-28,0,0,57,-80,-77,-45
0,0,-78,-33,0,0,100,0,0,-50,0,0,-11,1,0,-73,0,-23,0,-100,99,0,0,0,0,100,0,100,0
-7,-95,100,17,13,23,-13,-42,-100,-43,-26,-36,-100,100,-100,-100,100,8,-56,72,85,-63,-100,-30,100,75,100,-23,19
-93,60,-100,3,100,54,-40,19,-18,-7,-100,15,-14,0,-6,100,31,-8,-44,-23,37,-6,-95,58,-100,-49,-100,-100,35
0,100,100,87,16,-79,-47,23,-1,0,49,-15,-21,-50,-100,-100,-13,0,57,26,78,-72,-50,-16,-28,-43,83,0,71
0,0,60,-2,100,-100,0,100,0,0,-23,100,-100,0,-100,100,100,0,-57,0,-8,-83,-18,0,100,0,100,0,100
0,-31,100,-26,-100,72,0,100,100,0,-97,0,-7,-100,0,100,-100,100,0,100,-64,0,55,100,-42,0,-91,0,-100
0,100,-100,22,-96,0,0,-70,0,0,-13,100,1,100,0,-57,0,0,0,-100,-42,0,0,0,100,-30,0,0,-84
0,62,100,100,-43,-2,100,-19,-100,79,-90,-19,-31,56,-25,-100,-73,81,0,100,100,0,-41,-47,-90,49,1,0,-100
0,67,100,90,14,-94,-74,-81,0,-29,100,-90,11,100,81,-100,-45,-100,0,100,-17,-44,18,-100,-68,100,100,16,18
12,-28,26,-100,25,-20,-26,-72,0,-50,-100,-78,46,17,50,-100,0,-81,0,-34,72,38,-100,100,3,80,-15,22,-14
-12,70,-80,100,100,-26,0,6,38,0,0,8,-100,100,-10,-3,0,35,37,100,100,-38,46,-20,28,-48,-100,100,-5
0,-21,0,-90,-24,-13,0,-6,-38,0,15,26,45,-21,100,0,100,-35,24,93,5,0,-100,-1,52,-100,-1,34,100
0,-64,100,-100,95,-6,0,0,1,0,-15,100,100,100,-32,0,-89,0,-45,-77,-31,0,100,-88,16,0,-49,-100,-3
100,0,-100,0,-34,0,0,0,-1,0,0,-9,-38,0,0,100,0,0,0,-57,0,0,95,-15,0,0,0,-72,-32
0,100,-100,0,-100,100,0,0,100,0,0,100,-52,100,5,0,-11,0,0,-100,-100,0,-8,-31,0,-22,-26,0,100
-100,-54,59,-100,0,-34,0,66,75,0,0,100,34,100,100,70,100,52,-16,-53,-31,0,-100,-51,-1,-61,8,25,30
11,-50,100,-28,-100,39,0,100,25,0,0,-34,-100,-96,-20,-100,-86,-52,2,13,-25,0,56,-11,-90,77,-47,-25,-100
63,-100,32,0,48,-100,68,17,-95,0,100,-46,80,-100,51,-2,13,0,50,-8,-52,48,-61,100,-8,16,76,0,-40
