AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,87,70,93,0,100,56,74,24,0,63,0,56,0,0,0,0,0,100,0,40,0,0,100,0,51,0,0,0
0,100,100,-93,0,-65,23,-74,100,0,-63,100,100,2,100,0,0,0,-76,97,0,0,100,100,0,-51,0,13,0
17,-100,-15,100,0,-35,100,0,30,0,0,100,51,24,36,73,5,0,100,-83,-40,0,30,93,100,0,72,-13,37
100,100,100,-100,24,0,-100,17,-59,2,0,-66,-100,89,0,-73,-5,100,-41,-14,0,34,-11,40,-51,0,89,0,-37
-100,53,-100,15,100,0,11,34,-95,-2,13,84,100,-77,32,27,0,-100,-65,100,0,47,100,-44,40,0,67,0,0
20,-100,-56,100,-61,0,23,100,0,0,-13,6,100,-38,96,59,87,4,-13,-100,100,0,15,100,-89,100,100,85,0
-30,56,-65,17,-63,0,-100,-100,100,47,100,39,-21,0,-7,100,-58,-4,100,97,-100,-27,100,-13,0,74,-100,100,0
-7,74,92,-100,0,5,-13,25,-16,29,100,49,-100,0,-8,80,64,0,87,-97,0,-54,67,-41,77,33,-97,100,0
0,-98,75,-32,95,-5,100,18,60,56,-48,-100,-100,26,20,79,-27,0,95,0,0,100,34,-19,-17,-100,80,39,62
77,-100,35,47,-95,5,-62,88,100,-100,-100,100,100,52,1,50,-66,0,-48,0,100,34,96,-90,-60,59,100,-53,-46
-16,100,90,-47,100,0,-15,47,100,-29,88,-22,-100,16,56,25,14,0,100,25,-92,-16,27,3,0,-70,35,0,60
100,22,-65,0,8,-5,100,100,-99,-3,64,-100,-86,-11,-100,-100,37,0,100,100,100,22,-92,-75,4,-96,100,-69,-69
-100,71,-100,0,-100,0,-37,-94,-100,100,-60,-90,0,-83,-14,58,-51,0,-59,39,58,-51,-100,-20,38,0,98,-78,85
-34,100,-45,100,100,0,100,33,-97,-63,-47,-95,0,0,82,11,0,0,-30,79,-36,29,-9,-6,100,0,-9,-100,-92
100,-100,72,3,-30,0,88,-81,16,9,-42,68,23,0,100,47,100,0,-3,100,100,66,-100,38,12,0,-100,-24,0
