AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,-100,85,41,-29,69,43,1,-19,81,0,-8,-17,-28,100,-46,100,0,0,-100,-77,67,-17,47,17,0,59,67,0
78,-51,0,-72,-13,0,-26,100,100,0,0,0,100,100,-100,-100,-44,0,0,100,0,0,-27,100,0,-75,0,96,0
-68,-43,-96,86,0,-40,-1,1,-100,-47,100,-4,-23,-29,-35,-57,100,0,0,-77,-87,-28,100,-100,12,-100,-91,-98,0
-10,72,-45,-100,100,-43,-20,-100,100,-34,0,0,-77,100,77,-24,100,0,0,-45,-50,67,-100,-77,46,-17,-100,100,63
0,44,-100,-100,-77,59,100,-2,24,1,50,0,21,86,100,-75,100,0,0,0,100,-61,100,0,-44,100,-36,-57,100
0,100,100,-56,-23,-40,-5,28,-18,-1,72,0,-5,-13,-20,81,-65,0,0,4,0,-27,18,82,45,-96,-76,25,100
82,-97,-100,18,27,-100,60,-28,-84,0,-70,0,100,-32,-7,57,100,65,0,-4,-20,22,-72,-82,-76,0,-88,-100,-100
77,-24,-13,23,81,-11,-53,0,-100,0,77,0,-100,13,100,44,-77,-65,0,54,87,-44,-19,0,0,55,-59,-96,-23
71,-13,-26,57,-80,-42,-100,47,85,100,-5,0,-16,57,61,-33,100,0,71,-54,0,100,0,0,0,86,0,91,-100
-88,-100,-100,-100,-28,0,100,-47,100,-61,57,0,0,-100,100,43,100,0,2,51,67,-76,-100,0,84,-100,0,41,49
-33,100,100,-53,0,46,-69,0,-100,-39,0,0,100,-67,-32,-98,100,0,1,0,-23,100,100,100,0,0,100,-100,-79
-27,0,0,0,0,0,0,0,-78,0,72,0,3,0,0,-60,100,0,0,-28,0,100,0,-100,0,0,0,-69,0
-1,-55,100,0,0,49,-47,0,80,0,-100,0,-68,-100,-10,0,-100,71,-74,-23,-4,-100,100,0,71,-37,0,0,0
0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-52,-33,0,0,-19,0,-2,0,0,0,-10,0,-10
0,-88,-100,0,0,0,96,0,-68,0,0,0,0,0,0,0,-71,0,0,0,-13,0,0,0,100,-2,100,0,0
64,-11,15,30,0,-86,100,0,-61,0,-100,0,-19,-40,-52,15,-88,-34,0,100,86,-63,-37,0,-43,-6,-33,31,0
-100,-46,-4,60,0,-9,-84,0,27,26,-79,17,82,-54,-29,43,9,-4,24,19,100,-61,98,0,-100,0,-63,70,0
30,-53,-100,-18,0,59,-100,0,-68,38,-7,100,-19,100,-99,48,-46,0,-24,-1,100,0,-43,82,-75,0,-21,12,30
100,0,19,22,0,8,-12,0,-40,11,66,100,74,-38,100,37,-100,0,100,32,-99,22,0,-82,-37,0,100,-49,67
-63,10,47,-94,0,33,0,0,100,-75,-100,100,-100,-68,100,100,43,54,-63,-68,0,-22,-3,100,72,32,100,-64,-71
0,0,100,0,54,-61,0,1,-8,0,-33,100,-53,-17,100,-100,-49,-54,0,-82,-93,0,-30,-10,100,0,100,0,-21
-100,-10,-76,0,-54,-39,0,-1,-11,0,61,100,0,-100,0,100,-61,0,-37,0,-54,0,31,100,-5,-32,100,0,78
-12,0,0,0,0,0,0,0,-56,68,-61,0,0,-100,0,0,2,0,0,0,0,0,100,-100,0,0,-53,0,100
0,0,100,0,0,0,0,0,100,-42,0,-47,100,-3,0,-54,-63,0,0,0,-100,0,0,0,-14,100,2,0,83
