AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
53,0,37,0,70,100,99,0,0,100,0,5,0,51,0,0,0,9,0,0,63,60,0,0,0,0,28,100,78
100,25,100,100,-70,-100,-99,0,0,-100,24,-5,33,100,0,54,0,-9,84,0,-26,-34,0,100,100,0,49,-11,96
33,-25,-30,64,0,100,0,100,100,29,-24,72,100,-81,22,-3,0,11,26,40,-31,-26,65,9,-45,0,-77,100,100
-100,100,-14,100,49,-4,0,59,100,-29,0,-41,1,32,100,100,0,100,9,62,-6,0,82,-2,-55,0,100,-100,-1
-86,25,-36,100,100,-96,0,100,100,0,11,-31,-100,46,39,-100,0,13,-85,100,100,77,-52,-61,0,100,-100,-35,-100
0,0,100,-100,-21,0,81,100,44,100,-11,0,-34,100,7,-51,0,53,29,100,-100,4,-95,-46,0,92,83,21,31
0,100,18,-100,-1,0,100,-49,100,-100,0,0,100,-100,44,0,62,80,100,100,99,100,100,0,100,100,-33,-75,-20
0,-30,17,100,-100,100,16,-65,92,0,0,0,-77,-23,100,0,-22,5,100,30,100,100,56,0,-27,28,44,0,-3
0,32,-9,-100,-27,100,100,100,100,100,0,0,-23,16,-100,89,100,100,-11,4,10,26,-63,0,100,-27,-33,0,-23
6,-100,100,-24,0,100,58,-100,8,88,100,0,0,-100,100,-89,100,-100,61,-100,-70,61,-93,0,25,100,-61,0,97
-6,-26,3,52,100,-91,-100,-100,-35,68,53,0,100,-41,100,100,-100,-30,100,-100,95,32,100,0,51,-100,0,0,10
67,-100,-1,51,-100,100,100,46,-100,21,100,0,17,0,-97,-20,3,100,52,-43,-23,100,32,0,-78,-12,7,0,-100
0,-1,-43,0,0,100,-56,1,0,0,100,100,79,0,-58,-45,100,100,-54,0,0,90,-21,0,-19,69,-7,0,-100
